lad,SHEF_A_CODE,reports,unique_users,average_per_user
E06000002,A1,1,1,1.0
E06000003,A1,1,1,1.0
E06000004,A1,2,2,1.0
E06000007,A1,1,1,1.0
E06000008,A1,1,1,1.0
E06000014,A1,1,1,1.0
E06000015,A1,1,1,1.0
E06000016,A1,1,1,1.0
E06000021,A1,1,1,1.0
E06000022,A1,3,3,1.0
E06000025,A1,2,1,2.0
E06000030,A1,1,1,1.0
E06000031,A1,15,13,1.1538461538461537
E06000032,A1,14,14,1.0
E06000033,A1,1,1,1.0
E06000035,A1,1,1,1.0
E06000036,A1,1,1,1.0
E06000038,A1,1,1,1.0
E06000039,A1,2,1,2.0
E06000040,A1,3,3,1.0
E06000041,A1,1,1,1.0
E06000042,A1,3,3,1.0
E06000043,A1,2,2,1.0
E06000044,A1,2,2,1.0
E06000050,A1,1,1,1.0
E06000052,A1,2,2,1.0
E06000055,A1,1,1,1.0
E06000056,A1,2,2,1.0
E06000057,A1,1,1,1.0
E06000059,A1,1,1,1.0
E06000060,A1,19,18,1.0555555555555556
E07000008,A1,1,1,1.0
E07000009,A1,2,2,1.0
E07000010,A1,1,1,1.0
E07000011,A1,10,10,1.0
E07000012,A1,4,4,1.0
E07000031,A1,3,2,1.5
E07000033,A1,1,1,1.0
E07000035,A1,2,2,1.0
E07000039,A1,1,1,1.0
E07000045,A1,1,1,1.0
E07000063,A1,3,3,1.0
E07000064,A1,1,1,1.0
E07000065,A1,2,2,1.0
E07000066,A1,1,1,1.0
E07000067,A1,1,1,1.0
E07000071,A1,3,3,1.0
E07000073,A1,1,1,1.0
E07000075,A1,1,1,1.0
E07000076,A1,2,2,1.0
E07000081,A1,2,2,1.0
E07000084,A1,2,2,1.0
E07000085,A1,3,3,1.0
E07000089,A1,7,6,1.1666666666666667
E07000090,A1,1,1,1.0
E07000095,A1,3,3,1.0
E07000099,A1,3,3,1.0
E07000102,A1,4,3,1.3333333333333333
E07000103,A1,2,2,1.0
E07000111,A1,2,2,1.0
E07000112,A1,2,2,1.0
E07000113,A1,1,1,1.0
E07000116,A1,2,2,1.0
E07000119,A1,1,1,1.0
E07000120,A1,1,1,1.0
E07000122,A1,2,1,2.0
E07000123,A1,2,2,1.0
E07000126,A1,1,1,1.0
E07000127,A1,1,1,1.0
E07000130,A1,2,2,1.0
E07000138,A1,1,1,1.0
E07000139,A1,1,1,1.0
E07000140,A1,1,1,1.0
E07000148,A1,1,1,1.0
E07000149,A1,2,2,1.0
E07000154,A1,1,1,1.0
E07000156,A1,1,1,1.0
E07000164,A1,1,1,1.0
E07000165,A1,1,1,1.0
E07000170,A1,1,1,1.0
E07000171,A1,1,1,1.0
E07000172,A1,3,2,1.5
E07000177,A1,6,6,1.0
E07000178,A1,8,8,1.0
E07000179,A1,6,6,1.0
E07000180,A1,1,1,1.0
E07000181,A1,1,1,1.0
E07000189,A1,3,3,1.0
E07000194,A1,2,2,1.0
E07000195,A1,3,1,3.0
E07000202,A1,1,1,1.0
E07000207,A1,1,1,1.0
E07000208,A1,1,1,1.0
E07000209,A1,1,1,1.0
E07000210,A1,1,1,1.0
E07000211,A1,2,2,1.0
E07000213,A1,1,1,1.0
E07000214,A1,2,1,2.0
E07000216,A1,3,3,1.0
E07000217,A1,2,2,1.0
E07000218,A1,2,2,1.0
E07000219,A1,1,1,1.0
E07000220,A1,1,1,1.0
E07000221,A1,1,1,1.0
E07000222,A1,2,2,1.0
E07000226,A1,1,1,1.0
E07000229,A1,1,1,1.0
E07000236,A1,1,1,1.0
E07000238,A1,2,2,1.0
E07000239,A1,1,1,1.0
E07000240,A1,1,1,1.0
E07000241,A1,1,1,1.0
E07000242,A1,2,2,1.0
E07000243,A1,13,11,1.1818181818181819
E07000244,A1,3,1,3.0
E07000245,A1,2,2,1.0
E08000001,A1,1,1,1.0
E08000003,A1,5,4,1.25
E08000005,A1,1,1,1.0
E08000009,A1,1,1,1.0
E08000013,A1,1,1,1.0
E08000014,A1,1,1,1.0
E08000019,A1,6,6,1.0
E08000022,A1,1,1,1.0
E08000024,A1,2,2,1.0
E08000025,A1,28,26,1.0769230769230769
E08000026,A1,2,2,1.0
E08000027,A1,8,8,1.0
E08000029,A1,2,2,1.0
E08000030,A1,2,2,1.0
E08000031,A1,2,1,2.0
E08000032,A1,2,2,1.0
E08000036,A1,1,1,1.0
E08000037,A1,1,1,1.0
E09000002,A1,3,3,1.0
E09000003,A1,15,14,1.0714285714285714
E09000004,A1,4,4,1.0
E09000005,A1,1,1,1.0
E09000006,A1,27,27,1.0
E09000007,A1,1,1,1.0
E09000008,A1,4,4,1.0
E09000010,A1,4,4,1.0
E09000011,A1,27,22,1.2272727272727273
E09000012,A1,2,2,1.0
E09000013,A1,1,1,1.0
E09000014,A1,4,4,1.0
E09000015,A1,3,3,1.0
E09000017,A1,2,2,1.0
E09000018,A1,8,7,1.1428571428571428
E09000019,A1,1,1,1.0
E09000022,A1,4,4,1.0
E09000023,A1,43,38,1.131578947368421
E09000024,A1,1,1,1.0
E09000028,A1,4,3,1.3333333333333333
E09000029,A1,2,2,1.0
E09000031,A1,3,3,1.0
E09000032,A1,2,2,1.0
E09000033,A1,2,2,1.0
N09000003,A1,1,1,1.0
N09000008,A1,1,1,1.0
S12000033,A1,4,4,1.0
S12000034,A1,1,1,1.0
S12000036,A1,2,2,1.0
S12000038,A1,2,2,1.0
S12000040,A1,1,1,1.0
S12000041,A1,1,1,1.0
S12000042,A1,1,1,1.0
S12000049,A1,3,3,1.0
S12000050,A1,3,3,1.0
W06000008,A1,1,1,1.0
W06000009,A1,1,1,1.0
W06000013,A1,2,2,1.0
W06000016,A1,1,1,1.0
W06000022,A1,2,2,1.0
E06000060,A11,8,7,1.1428571428571428
E07000061,A11,1,1,1.0
E07000062,A11,1,1,1.0
E07000137,A11,2,2,1.0
E07000139,A11,1,1,1.0
E07000140,A11,2,1,2.0
E07000141,A11,1,1,1.0
E06000001,A12,1,1,1.0
E06000022,A12,4,1,4.0
E06000023,A12,1,1,1.0
E06000032,A12,2,2,1.0
E06000038,A12,1,1,1.0
E06000045,A12,1,1,1.0
E06000057,A12,1,1,1.0
E07000079,A12,1,1,1.0
E07000113,A12,1,1,1.0
E07000134,A12,1,1,1.0
E07000178,A12,2,2,1.0
E07000202,A12,1,1,1.0
E07000209,A12,1,1,1.0
E07000220,A12,1,1,1.0
E08000007,A12,1,1,1.0
E08000016,A12,1,1,1.0
E08000019,A12,3,3,1.0
E08000025,A12,3,3,1.0
E08000026,A12,1,1,1.0
E08000036,A12,1,1,1.0
E09000004,A12,1,1,1.0
E09000006,A12,5,4,1.25
E09000008,A12,1,1,1.0
E09000011,A12,1,1,1.0
E09000018,A12,6,4,1.5
E09000022,A12,1,1,1.0
E09000023,A12,5,5,1.0
S12000033,A12,3,1,3.0
S12000038,A12,1,1,1.0
W06000015,A12,1,1,1.0
E06000022,A16,2,2,1.0
E07000189,A16,1,1,1.0
E09000004,A16,3,3,1.0
E09000011,A16,3,3,1.0
E09000018,A16,5,5,1.0
E06000022,A17,1,1,1.0
E06000060,A17,1,1,1.0
E07000031,A17,1,1,1.0
E07000045,A17,1,1,1.0
E07000064,A17,1,1,1.0
E07000220,A17,1,1,1.0
E09000004,A17,1,1,1.0
E09000008,A17,1,1,1.0
E09000010,A17,1,1,1.0
E09000018,A17,4,4,1.0
E09000023,A18,1,1,1.0
E06000022,A2,45,25,1.8
E09000003,A2,29,12,2.4166666666666665
E06000001,A20,1,1,1.0
E06000004,A20,3,2,1.5
E06000015,A20,4,3,1.3333333333333333
E06000022,A20,1,1,1.0
E06000031,A20,2,2,1.0
E06000032,A20,4,4,1.0
E06000035,A20,1,1,1.0
E06000039,A20,1,1,1.0
E06000060,A20,2,2,1.0
E07000010,A20,1,1,1.0
E07000062,A20,1,1,1.0
E07000063,A20,1,1,1.0
E07000064,A20,1,1,1.0
E07000081,A20,1,1,1.0
E07000085,A20,1,1,1.0
E07000089,A20,4,4,1.0
E07000113,A20,1,1,1.0
E07000115,A20,1,1,1.0
E07000116,A20,1,1,1.0
E07000119,A20,1,1,1.0
E07000121,A20,2,2,1.0
E07000130,A20,1,1,1.0
E07000137,A20,2,1,2.0
E07000138,A20,1,1,1.0
E07000154,A20,1,1,1.0
E07000156,A20,2,2,1.0
E07000171,A20,1,1,1.0
E07000177,A20,1,1,1.0
E07000178,A20,2,2,1.0
E07000179,A20,2,2,1.0
E07000180,A20,6,4,1.5
E07000181,A20,3,2,1.5
E07000212,A20,1,1,1.0
E07000213,A20,2,1,2.0
E07000224,A20,2,2,1.0
E07000226,A20,1,1,1.0
E07000243,A20,1,1,1.0
E07000244,A20,3,1,3.0
E08000001,A20,1,1,1.0
E08000002,A20,1,1,1.0
E08000005,A20,1,1,1.0
E08000007,A20,1,1,1.0
E08000010,A20,1,1,1.0
E08000012,A20,1,1,1.0
E08000016,A20,1,1,1.0
E08000019,A20,2,2,1.0
E08000022,A20,1,1,1.0
E08000024,A20,1,1,1.0
E08000025,A20,2,2,1.0
E08000031,A20,1,1,1.0
E08000033,A20,1,1,1.0
E08000037,A20,1,1,1.0
E09000003,A20,11,1,11.0
E09000008,A20,2,1,2.0
E09000011,A20,1,1,1.0
E09000014,A20,1,1,1.0
E09000017,A20,1,1,1.0
E09000018,A20,3,3,1.0
E09000023,A20,13,11,1.1818181818181819
E09000027,A20,2,1,2.0
E09000029,A20,2,2,1.0
S12000036,A20,4,1,4.0
S12000042,A20,1,1,1.0
S12000049,A20,5,4,1.25
S12000050,A20,2,2,1.0
W06000013,A20,5,4,1.25
W06000015,A20,1,1,1.0
W06000016,A20,2,2,1.0
E07000082,A21,2,2,1.0
E07000089,A21,1,1,1.0
E07000245,A23,1,1,1.0
E06000001,A24,1,1,1.0
E06000003,A24,1,1,1.0
E06000004,A24,6,6,1.0
E06000005,A24,2,2,1.0
E06000006,A24,2,2,1.0
E06000007,A24,2,2,1.0
E06000013,A24,1,1,1.0
E06000014,A24,1,1,1.0
E06000015,A24,3,3,1.0
E06000019,A24,2,2,1.0
E06000020,A24,2,2,1.0
E06000021,A24,2,2,1.0
E06000022,A24,1,1,1.0
E06000023,A24,11,10,1.1
E06000024,A24,2,2,1.0
E06000025,A24,3,2,1.5
E06000027,A24,1,1,1.0
E06000030,A24,2,2,1.0
E06000031,A24,2,2,1.0
E06000032,A24,1,1,1.0
E06000035,A24,1,1,1.0
E06000038,A24,4,3,1.3333333333333333
E06000039,A24,2,2,1.0
E06000040,A24,3,3,1.0
E06000041,A24,10,8,1.25
E06000042,A24,1,1,1.0
E06000043,A24,3,1,3.0
E06000044,A24,2,2,1.0
E06000046,A24,1,1,1.0
E06000050,A24,1,1,1.0
E06000051,A24,5,4,1.25
E06000052,A24,3,3,1.0
E06000055,A24,3,3,1.0
E06000056,A24,2,2,1.0
E06000057,A24,2,2,1.0
E06000060,A24,83,73,1.1369863013698631
E07000008,A24,2,2,1.0
